x_cm,y_cm,reachable,state_class,left_solution_count,right_solution_count,combo_count,sample_branch,left_theta1_deg,left_theta2_deg,right_theta1_deg,right_theta2_deg
0.0,0.0,1,3,2,2,4,L_up-R_up,102.556,154.888,130.706,98.589
1.0,0.0,1,3,2,2,4,L_up-R_up,101.283,157.434,129.082,101.836
2.0,0.0,1,3,2,2,4,L_up-R_up,100.015,159.969,127.495,105.01
3.0,0.0,1,3,2,2,4,L_up-R_up,98.753,162.494,125.941,108.117
4.0,0.0,1,3,2,2,4,L_up-R_up,97.495,165.011,124.417,111.165
5.0,0.0,1,3,2,2,4,L_up-R_up,96.24,167.52,122.921,114.159
6.0,0.0,1,3,2,2,4,L_up-R_up,94.989,170.023,121.449,117.102
7.0,0.0,1,3,2,2,4,L_up-R_up,93.739,172.521,120.0,120.0
8.0,0.0,1,3,2,2,4,L_up-R_up,92.492,175.016,118.572,122.856
9.0,0.0,1,3,2,2,4,L_up-R_up,91.246,177.509,117.163,125.674
10.0,0.0,1,2,1,2,2,L_up-R_up,0.0,180.0,115.771,128.457
11.0,0.0,1,3,2,2,4,L_up-R_up,-88.754,177.509,114.396,131.208
12.0,0.0,1,3,2,2,4,L_up-R_up,-87.508,175.016,113.036,133.929
13.0,0.0,1,3,2,2,4,L_up-R_up,-86.261,172.521,111.689,136.622
14.0,0.0,1,3,2,2,4,L_up-R_up,-85.011,170.023,110.354,139.291
15.0,0.0,1,3,2,2,4,L_up-R_up,-83.76,167.52,109.031,141.937
16.0,0.0,1,3,2,2,4,L_up-R_up,-82.505,165.011,107.719,144.562
17.0,0.0,1,3,2,2,4,L_up-R_up,-81.247,162.494,106.416,147.168
18.0,0.0,1,3,2,2,4,L_up-R_up,-79.985,159.969,105.122,149.757
19.0,0.0,1,3,2,2,4,L_up-R_up,-78.717,157.434,103.835,152.33
20.0,0.0,1,3,2,2,4,L_up-R_up,-77.444,154.888,102.556,154.888
21.0,0.0,1,3,2,2,4,L_up-R_up,-76.165,152.33,101.283,157.434
22.0,0.0,1,3,2,2,4,L_up-R_up,-74.878,149.757,100.015,159.969
23.0,0.0,1,3,2,2,4,L_up-R_up,-73.584,147.168,98.753,162.494
24.0,0.0,1,3,2,2,4,L_up-R_up,-72.281,144.562,97.495,165.011
25.0,0.0,1,3,2,2,4,L_up-R_up,-70.969,141.937,96.24,167.52
26.0,0.0,1,3,2,2,4,L_up-R_up,-69.646,139.291,94.989,170.023
27.0,0.0,1,3,2,2,4,L_up-R_up,-68.311,136.622,93.739,172.521
28.0,0.0,1,3,2,2,4,L_up-R_up,-66.964,133.929,92.492,175.016
29.0,0.0,1,3,2,2,4,L_up-R_up,-65.604,131.208,91.246,177.509
30.0,0.0,1,2,2,1,2,L_up-R_up,-64.229,128.457,0.0,180.0
31.0,0.0,1,3,2,2,4,L_up-R_up,-62.837,125.674,-88.754,177.509
32.0,0.0,1,3,2,2,4,L_up-R_up,-61.428,122.856,-87.508,175.016
33.0,0.0,1,3,2,2,4,L_up-R_up,-60.0,120.0,-86.261,172.521
34.0,0.0,1,3,2,2,4,L_up-R_up,-58.551,117.102,-85.011,170.023
35.0,0.0,1,3,2,2,4,L_up-R_up,-57.079,114.159,-83.76,167.52
36.0,0.0,1,3,2,2,4,L_up-R_up,-55.583,111.165,-82.505,165.011
37.0,0.0,1,3,2,2,4,L_up-R_up,-54.059,108.117,-81.247,162.494
38.0,0.0,1,3,2,2,4,L_up-R_up,-52.505,105.01,-79.985,159.969
39.0,0.0,1,3,2,2,4,L_up-R_up,-50.918,101.836,-78.717,157.434
40.0,0.0,1,3,2,2,4,L_up-R_up,-49.294,98.589,-77.444,154.888
0.0,1.0,1,3,2,2,4,L_up-R_up,96.909,154.761,128.824,98.534
1.0,1.0,1,3,2,2,4,L_up-R_up,95.013,157.294,127.135,101.78
2.0,1.0,1,3,2,2,4,L_up-R_up,92.969,159.812,125.478,104.953
3.0,1.0,1,3,2,2,4,L_up-R_up,90.712,162.315,123.849,108.06
4.0,1.0,1,3,2,2,4,L_up-R_up,88.136,164.803,122.244,111.107
5.0,1.0,1,3,2,2,4,L_up-R_up,85.054,167.272,120.66,114.099
6.0,1.0,1,3,2,2,4,L_up-R_up,81.106,169.715,119.093,117.041
7.0,1.0,1,3,2,2,4,L_up-R_up,75.507,172.116,117.542,119.937
8.0,1.0,1,3,2,2,4,L_up-R_up,66.221,174.427,116.002,122.792
9.0,1.0,1,3,2,2,4,L_up-R_up,46.762,176.476,114.47,125.608
10.0,1.0,1,3,2,2,4,L_up-R_up,1.246,177.509,112.944,128.388
11.0,1.0,1,3,2,2,4,L_up-R_up,-43.238,176.476,111.419,131.136
12.0,1.0,1,3,2,2,4,L_up-R_up,-60.649,174.427,109.893,133.853
13.0,1.0,1,3,2,2,4,L_up-R_up,-67.623,172.116,108.362,136.544
14.0,1.0,1,3,2,2,4,L_up-R_up,-70.821,169.715,106.82,139.208
15.0,1.0,1,3,2,2,4,L_up-R_up,-72.326,167.272,105.261,141.849
16.0,1.0,1,3,2,2,4,L_up-R_up,-72.939,164.803,103.68,144.469
17.0,1.0,1,3,2,2,4,L_up-R_up,-73.027,162.315,102.067,147.068
18.0,1.0,1,3,2,2,4,L_up-R_up,-72.781,159.812,100.412,149.649
19.0,1.0,1,3,2,2,4,L_up-R_up,-72.307,157.294,98.699,152.213
20.0,1.0,1,3,2,2,4,L_up-R_up,-71.67,154.761,96.909,154.761
21.0,1.0,1,3,2,2,4,L_up-R_up,-70.912,152.213,95.013,157.294
22.0,1.0,1,3,2,2,4,L_up-R_up,-70.061,149.649,92.969,159.812
23.0,1.0,1,3,2,2,4,L_up-R_up,-69.135,147.068,90.712,162.315
24.0,1.0,1,3,2,2,4,L_up-R_up,-68.149,144.469,88.136,164.803
25.0,1.0,1,3,2,2,4,L_up-R_up,-67.111,141.849,85.054,167.272
26.0,1.0,1,3,2,2,4,L_up-R_up,-66.028,139.208,81.106,169.715
27.0,1.0,1,3,2,2,4,L_up-R_up,-64.905,136.544,75.507,172.116
28.0,1.0,1,3,2,2,4,L_up-R_up,-63.747,133.853,66.221,174.427
29.0,1.0,1,3,2,2,4,L_up-R_up,-62.555,131.136,46.762,176.476
30.0,1.0,1,3,2,2,4,L_up-R_up,-61.332,128.388,1.246,177.509
31.0,1.0,1,3,2,2,4,L_up-R_up,-60.077,125.608,-43.238,176.476
32.0,1.0,1,3,2,2,4,L_up-R_up,-58.793,122.792,-60.649,174.427
33.0,1.0,1,3,2,2,4,L_up-R_up,-57.479,119.937,-67.623,172.116
34.0,1.0,1,3,2,2,4,L_up-R_up,-56.135,117.041,-70.821,169.715
35.0,1.0,1,3,2,2,4,L_up-R_up,-54.759,114.099,-72.326,167.272
36.0,1.0,1,3,2,2,4,L_up-R_up,-53.351,111.107,-72.939,164.803
37.0,1.0,1,3,2,2,4,L_up-R_up,-51.909,108.06,-73.027,162.315
38.0,1.0,1,3,2,2,4,L_up-R_up,-50.431,104.953,-72.781,159.812
39.0,1.0,1,3,2,2,4,L_up-R_up,-48.915,101.78,-72.307,157.294
40.0,1.0,1,3,2,2,4,L_up-R_up,-47.358,98.534,-71.67,154.761
