x_cm,y_cm,reachable,state_class,left_solution_count,right_solution_count,combo_count,sample_branch,left_theta1_deg,left_theta2_deg,right_theta1_deg,right_theta2_deg
0.0,0.0,0,0,2,0,0,none,,,,
1.0,0.0,1,3,2,2,4,L_up-R_up,-160.653,118.685,-159.08,19.091
2.0,0.0,1,3,2,2,4,L_up-R_up,-158.16,119.258,-164.053,30.543
3.0,0.0,1,3,2,2,4,L_up-R_up,-155.545,119.67,-167.364,38.739
4.0,0.0,1,3,2,2,4,L_up-R_up,-152.821,119.917,-169.908,45.473
5.0,0.0,1,3,2,2,4,L_up-R_up,-150.0,120.0,-171.969,51.318
6.0,0.0,1,3,2,2,4,L_up-R_up,-147.096,119.917,-173.681,56.547
7.0,0.0,1,3,2,2,4,L_up-R_up,-144.124,119.67,-175.12,61.315
8.0,0.0,1,3,2,2,4,L_up-R_up,-141.098,119.258,-176.329,65.717
9.0,0.0,1,3,2,2,4,L_up-R_up,-138.033,118.685,-177.341,69.818
10.0,0.0,1,3,2,2,4,L_up-R_up,-134.94,117.953,-178.173,73.665
11.0,0.0,1,3,2,2,4,L_up-R_up,-131.833,117.065,-178.84,77.291
12.0,0.0,1,3,2,2,4,L_up-R_up,-128.722,116.024,-179.351,80.721
13.0,0.0,1,3,2,2,4,L_up-R_up,-125.616,114.835,-179.713,83.973
14.0,0.0,1,3,2,2,4,L_up-R_up,-122.522,113.5,-179.928,87.062
15.0,0.0,1,3,2,2,4,L_up-R_up,-119.447,112.024,-180.0,90.0
16.0,0.0,1,3,2,2,4,L_up-R_up,-116.395,110.411,-179.928,92.794
17.0,0.0,1,3,2,2,4,L_up-R_up,-113.368,108.663,-179.713,95.451
18.0,0.0,1,3,2,2,4,L_up-R_up,-110.368,106.783,-179.352,97.976
19.0,0.0,1,3,2,2,4,L_up-R_up,-107.395,104.774,-178.845,100.37
20.0,0.0,1,3,2,2,4,L_up-R_up,-104.448,102.636,-178.188,102.636
21.0,0.0,1,3,2,2,4,L_up-R_up,-101.525,100.37,-177.379,104.774
22.0,0.0,1,3,2,2,4,L_up-R_up,-98.623,97.976,-176.415,106.783
23.0,0.0,1,3,2,2,4,L_up-R_up,-95.738,95.451,-175.295,108.663
24.0,0.0,1,3,2,2,4,L_up-R_up,-92.866,92.794,-174.016,110.411
25.0,0.0,1,3,2,2,4,L_up-R_up,-90.0,90.0,-172.577,112.024
26.0,0.0,1,3,2,2,4,L_up-R_up,-87.134,87.062,-170.978,113.5
27.0,0.0,1,3,2,2,4,L_up-R_up,-84.26,83.973,-169.219,114.835
28.0,0.0,1,3,2,2,4,L_up-R_up,-81.369,80.721,-167.302,116.024
29.0,0.0,1,3,2,2,4,L_up-R_up,-78.451,77.291,-165.232,117.065
30.0,0.0,1,3,2,2,4,L_up-R_up,-75.492,73.665,-163.013,117.953
31.0,0.0,1,3,2,2,4,L_up-R_up,-72.478,69.818,-160.653,118.685
32.0,0.0,1,3,2,2,4,L_up-R_up,-69.387,65.717,-158.16,119.258
33.0,0.0,1,3,2,2,4,L_up-R_up,-66.195,61.315,-155.545,119.67
34.0,0.0,1,3,2,2,4,L_up-R_up,-62.866,56.547,-152.821,119.917
35.0,0.0,1,3,2,2,4,L_up-R_up,-59.349,51.318,-150.0,120.0
36.0,0.0,1,3,2,2,4,L_up-R_up,-55.565,45.473,-147.096,119.917
37.0,0.0,1,3,2,2,4,L_up-R_up,-51.375,38.739,-144.124,119.67
38.0,0.0,1,3,2,2,4,L_up-R_up,-46.49,30.543,-141.098,119.258
