x_cm,y_cm,reachable,state_class,left_solution_count,right_solution_count,combo_count,sample_branch,left_theta1_deg,left_theta2_deg,right_theta1_deg,right_theta2_deg
0.0,0.0,0,0,2,0,0,none,,,,
1.0,0.0,0,0,2,0,0,none,,,,
2.0,0.0,0,0,2,0,0,none,,,,
3.0,0.0,0,0,2,0,0,none,,,,
4.0,0.0,0,0,2,0,0,none,,,,
5.0,0.0,0,0,2,0,0,none,,,,
6.0,0.0,0,0,2,0,0,none,,,,
7.0,0.0,0,0,2,0,0,none,,,,
8.0,0.0,0,0,2,0,0,none,,,,
9.0,0.0,0,0,2,0,0,none,,,,
10.0,0.0,0,0,2,0,0,none,,,,
11.0,0.0,0,0,2,0,0,none,,,,
12.0,0.0,0,0,2,0,0,none,,,,
13.0,0.0,1,3,2,2,4,L_up-R_up,-116.145,88.465,-145.921,15.359
14.0,0.0,1,3,2,2,4,L_up-R_up,-112.492,86.289,-152.28,29.738
15.0,0.0,1,3,2,2,4,L_up-R_up,-108.786,83.849,-155.87,39.033
16.0,0.0,1,3,2,2,4,L_up-R_up,-105.026,81.14,-158.363,46.391
17.0,0.0,1,3,2,2,4,L_up-R_up,-101.209,78.15,-160.183,52.617
18.0,0.0,1,3,2,2,4,L_up-R_up,-97.328,74.861,-161.514,58.061
19.0,0.0,1,3,2,2,4,L_up-R_up,-93.368,71.251,-162.451,62.912
20.0,0.0,1,3,2,2,4,L_up-R_up,-89.312,67.284,-163.052,67.284
21.0,0.0,1,3,2,2,4,L_up-R_up,-85.132,62.912,-163.352,71.251
22.0,0.0,1,3,2,2,4,L_up-R_up,-80.785,58.061,-163.375,74.861
23.0,0.0,1,3,2,2,4,L_up-R_up,-76.209,52.617,-163.137,78.15
24.0,0.0,1,3,2,2,4,L_up-R_up,-71.301,46.391,-162.648,81.14
25.0,0.0,1,3,2,2,4,L_up-R_up,-65.87,39.033,-161.916,83.849
26.0,0.0,1,3,2,2,4,L_up-R_up,-59.486,29.738,-160.947,86.289
27.0,0.0,1,3,2,2,4,L_up-R_up,-50.468,15.359,-159.747,88.465
28.0,0.0,0,0,0,2,0,none,,,,
29.0,0.0,0,0,0,2,0,none,,,,
30.0,0.0,0,0,0,2,0,none,,,,
31.0,0.0,0,0,0,2,0,none,,,,
32.0,0.0,0,0,0,2,0,none,,,,
